framenumber,feature0,feature1,feature2,feature3,feature4
178,0.000000,0.000000,0.000000,0.000000,0.000000
179,0.000000,0.000000,0.000000,0.000000,0.000000
180,3.969541,0.250000,6.881945,4.111720,0.508041
181,4.896019,0.375000,10.076389,6.411086,0.628720
182,2.370538,0.041667,3.333333,0.279235,0.056327
183,2.799048,0.138889,6.138889,1.463404,0.050099
184,2.434146,0.069444,2.909722,1.420602,0.097917
185,2.142637,0.041667,8.187500,0.082562,0.030754
186,2.388188,0.055556,3.076389,1.213233,0.040278
187,2.689839,0.069444,2.652778,1.149450,0.036458
188,3.263313,0.069444,3.500000,1.008472,0.044218
189,0.000000,0.000000,0.000000,0.000000,0.000000
190,2.630456,0.055556,36.263889,0.492188,0.040799
191,2.775391,0.069444,42.381943,1.059354,0.047543
192,0.000000,0.000000,0.000000,0.000000,0.000000
193,3.166854,0.097222,15.270833,2.141852,0.035556
194,0.000000,0.000000,0.000000,0.000000,0.000000
195,0.000000,0.000000,0.000000,0.000000,0.000000
196,0.000000,0.000000,0.000000,0.000000,0.000000
197,0.000000,0.000000,0.000000,0.000000,0.000000
198,0.000000,0.000000,0.000000,0.000000,0.000000
199,0.000000,0.000000,0.000000,0.000000,0.000000
200,0.000000,0.000000,0.000000,0.000000,0.000000
201,0.000000,0.000000,0.000000,0.000000,0.000000
202,0.000000,0.000000,0.000000,0.000000,0.000000
203,0.000000,0.000000,0.000000,0.000000,0.000000
204,0.000000,0.000000,0.000000,0.000000,0.000000
205,0.000000,0.000000,0.000000,0.000000,0.000000
0,0.000000,0.000000,0.000000,0.000000,0.000000
1,2.501385,0.069444,62.500000,0.248119,0.048611
2,2.470641,0.069444,2.625000,0.305387,0.047454
3,3.243594,0.055556,3.965278,0.579123,0.083333
4,0.000000,0.000000,0.000000,0.000000,0.000000
5,2.417502,0.027778,0.000000,0.015721,0.011574
6,0.164517,0.013889,29.388889,0.084129,0.000000
7,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.000000,0.000000,0.000000,0.000000,0.000000
9,1.708339,0.027778,81.041664,0.526313,0.027778
10,1.247372,0.027778,2.722222,0.395496,0.034722
11,0.000000,0.000000,0.000000,0.000000,0.000000
12,2.325365,0.013889,63.402779,3.275137,0.000000
13,2.802241,0.041667,7.138889,0.705802,0.100694
14,2.075017,0.041667,21.423611,0.226719,0.042824
15,2.365228,0.055556,128.375000,1.609939,0.081944
16,0.000000,0.000000,0.000000,0.000000,0.000000
17,0.000000,0.000000,0.000000,0.000000,0.000000
18,3.527984,0.319444,28.937500,0.482398,0.113715
19,0.000000,0.000000,0.000000,0.000000,0.000000
20,3.437325,0.388889,17.576389,0.654791,0.098420
21,3.622454,0.055556,29.937500,1.732190,0.151389
